Year,League,Player,Team,Hits
1941,NL,Stan Hack,CHICAGO,186.0
1942,AL,Johnny Pesky,BOSTON,205.0
1942,NL,Enos Slaughter,ST. LOUIS,188.0
1943,AL,Dick Wakefield,DETROIT,200.0
1943,NL,Stan Musial,ST. LOUIS,220.0
1944,AL,Snuffy Stirnweiss,NEW YORK,205.0
1944,NL,Phil Cavarretta,CHICAGO,197.0
1945,AL,Snuffy Stirnweiss,NEW YORK,195.0
1945,NL,Tommy Holmes,BOSTON,224.0
1946,AL,Johnny Pesky,BOSTON,208.0
1946,NL,Stan Musial,ST. LOUIS,228.0
1947,AL,Johnny Pesky,BOSTON,207.0
1947,NL,Tommy Holmes,BOSTON,191.0
1948,AL,Bob Dillinger,ST. LOUIS,207.0
1948,NL,Stan Musial,ST. LOUIS,230.0
1949,AL,Dale Mitchell,CLEVELAND,203.0
1949,NL,Stan Musial,ST. LOUIS,207.0
1950,AL,George Kell,DETROIT,218.0
1950,NL,Duke Snider,BROOKLYN,199.0
1951,AL,George Kell,DETROIT,191.0
1951,NL,Richie Ashburn,PHILADELPHIA,221.0
1952,AL,Nellie Fox,CHICAGO,192.0
1952,NL,Stan Musial,ST. LOUIS,194.0
1953,AL,Harvey Kuenn,DETROIT,209.0
1953,NL,Richie Ashburn,PHILADELPHIA,205.0
1954,AL,Nellie Fox,CHICAGO,201.0
1954,NL,Don Mueller,NEW YORK,212.0
1955,AL,Al Kaline,DETROIT,200.0
1955,NL,Ted Kluszewski,CINCINNATI,192.0
1956,AL,Harvey Kuenn,DETROIT,196.0
1956,NL,Hank Aaron,MILWAUKEE,200.0
1957,AL,Nellie Fox,CHICAGO,196.0
1957,NL,Red Schoendienst,MILWAUKEE,200.0
1958,AL,Nellie Fox,CHICAGO,187.0
1958,NL,Richie Ashburn,PHILADELPHIA,215.0
1959,AL,Harvey Kuenn,DETROIT,198.0
1959,NL,Hank Aaron,MILWAUKEE,223.0
1960,AL,Minnie Minoso,CHICAGO,184.0
1960,NL,Willie Mays,SAN FRANCISCO,190.0
1961,AL,Norm Cash,DETROIT,193.0
1961,NL,Vada Pinson,CINCINNATI,208.0
1962,AL,Bobby Richardson,NEW YORK,209.0
1962,NL,Tommy Davis,LOS ANGELES,230.0
1963,AL,Carl Yastrzemski,BOSTON,183.0
1963,NL,Vada Pinson,CINCINNATI,204.0
1964,AL,Tony Oliva,MINNESOTA,217.0
1964,NL,Roberto Clemente,PITTSBURGH,211.0
1965,AL,Tony Oliva,MINNESOTA,185.0
1965,NL,Pete Rose,CINCINNATI,209.0
1966,AL,Tony Oliva,MINNESOTA,191.0
1966,NL,Felipe Alou,ATLANTA,218.0
1967,AL,Carl Yastrzemski,BOSTON,189.0
1967,NL,Roberto Clemente,PITTSBURGH,209.0
1968,AL,Bert Campaneris,OAKLAND,177.0
1968,NL,Felipe Alou,ATLANTA,210.0
1969,AL,Tony Oliva,MINNESOTA,197.0
1969,NL,Matty Alou,PITTSBURGH,231.0
1970,AL,Tony Oliva,MINNESOTA,204.0
1970,NL,Pete Rose,CINCINNATI,205.0
1971,AL,Cesar Tovar,MINNESOTA,204.0
1971,NL,Joe Torre,ST. LOUIS,230.0
1972,AL,Joe Rudi,OAKLAND,181.0
1972,NL,Pete Rose,CINCINNATI,198.0
1973,AL,Rod Carew,MINNESOTA,203.0
1973,NL,Pete Rose,CINCINNATI,230.0
1974,AL,Rod Carew,MINNESOTA,218.0
1974,NL,Ralph Garr,ATLANTA,214.0
1975,AL,George Brett,KANSAS CITY,195.0
1975,NL,Dave Cash,PHILADELPHIA,213.0
1976,AL,George Brett,KANSAS CITY,215.0
1976,NL,Pete Rose,CINCINNATI,215.0
1977,AL,Rod Carew,MINNESOTA,239.0
1977,NL,Dave Parker,PITTSBURGH,215.0
1978,AL,Jim Rice,BOSTON,213.0
1978,NL,Steve Garvey,LOS ANGELES,202.0
1979,AL,George Brett,KANSAS CITY,212.0
1979,NL,Garry Templeton,ST. LOUIS,211.0
1980,AL,Willie Wilson,KANSAS CITY,230.0
1980,NL,Steve Garvey,LOS ANGELES,200.0
1981,AL,Rickey Henderson,OAKLAND,135.0
1981,NL,Pete Rose,PHILADELPHIA,140.0
1982,AL,Robin Yount,MILWAUKEE,210.0
1982,NL,Al Oliver,MONTREAL,204.0
1983,AL,Cal Ripken Jr.,BALTIMORE,211.0
1983,NL,Jose Cruz,HOUSTON,189.0
