Year,League,Player,Team,RBI
1941,NL,Dolph Camilli,BROOKLYN,120.0
1942,AL,Ted Williams,BOSTON,137.0
1942,NL,Johnny Mize,NEW YORK,110.0
1943,AL,Rudy York,DETROIT,118.0
1943,NL,Bill Nicholson,CHICAGO,128.0
1944,AL,Vern Stephens,ST. LOUIS,109.0
1944,NL,Bill Nicholson,CHICAGO,122.0
1945,AL,Nick Etten,NEW YORK,111.0
1945,NL,Dixie Walker,BROOKLYN,124.0
1946,AL,Hank Greenberg,DETROIT,127.0
1946,NL,Enos Slaughter,ST. LOUIS,130.0
1947,AL,Ted Williams,BOSTON,114.0
1947,NL,Johnny Mize,NEW YORK,138.0
1948,AL,Joe DiMaggio,NEW YORK,155.0
1948,NL,Stan Musial,ST. LOUIS,131.0
1949,AL,Vern Stephens,BOSTON,159.0
1949,NL,Ralph Kiner,PITTSBURGH,127.0
1950,AL,Walt Dropo,BOSTON,144.0
1950,NL,Del Ennis,PHILADELPHIA,126.0
1951,AL,Gus Zernial,CHICAGO,129.0
1951,NL,Monte Irvin,NEW YORK,121.0
1952,AL,Al Rosen,CLEVELAND,105.0
1952,NL,Hank Sauer,CHICAGO,121.0
1953,AL,Al Rosen,CLEVELAND,145.0
1953,NL,Roy Campanella,BROOKLYN,142.0
1954,AL,Larry Doby,CLEVELAND,126.0
1954,NL,Ted Kluszewski,CINCINNATI,141.0
1955,AL,Ray Boone,DETROIT,116.0
1955,NL,Duke Snider,BROOKLYN,136.0
1956,AL,Mickey Mantle,NEW YORK,130.0
1956,NL,Stan Musial,ST. LOUIS,109.0
1957,AL,Roy Sievers,WASHINGTON,114.0
1957,NL,Hank Aaron,MILWAUKEE,132.0
1958,AL,Jackie Jensen,BOSTON,122.0
1958,NL,Ernie Banks,CHICAGO,129.0
1959,AL,Jackie Jensen,BOSTON,112.0
1959,NL,Ernie Banks,CHICAGO,143.0
1960,AL,Roger Maris,NEW YORK,112.0
1960,NL,Hank Aaron,MILWAUKEE,126.0
1961,AL,Jim Gentile,BALTIMORE,141.0
1961,NL,Orlando Cepeda,SAN FRANCISCO,142.0
1962,AL,Harmon Killebrew,MINNESOTA,126.0
1962,NL,Tommy Davis,LOS ANGELES,153.0
1963,AL,Dick Stuart,BOSTON,118.0
1963,NL,Hank Aaron,MILWAUKEE,130.0
1964,AL,Brooks Robinson,BALTIMORE,118.0
1964,NL,Ken Boyer,ST. LOUIS,119.0
1965,AL,Rocky Colavito,CLEVELAND,108.0
1965,NL,Deron Johnson,CINCINNATI,130.0
1966,AL,Frank Robinson,BALTIMORE,122.0
1966,NL,Hank Aaron,ATLANTA,127.0
1967,AL,Carl Yastrzemski,BOSTON,121.0
1967,NL,Orlando Cepeda,ST. LOUIS,111.0
1968,AL,Ken Harrelson,BOSTON,109.0
1968,NL,Willie McCovey,SAN FRANCISCO,105.0
1969,AL,Harmon Killebrew,MINNESOTA,140.0
1969,NL,Willie McCovey,SAN FRANCISCO,126.0
1970,AL,Frank Howard,WASHINGTON,126.0
1970,NL,Johnny Bench,CINCINNATI,148.0
1971,AL,Harmon Killebrew,MINNESOTA,119.0
1971,NL,Joe Torre,ST. LOUIS,137.0
1972,AL,Dick Allen,CHICAGO,113.0
1972,NL,Johnny Bench,CINCINNATI,125.0
1973,AL,Reggie Jackson,OAKLAND,117.0
1973,NL,Willie Stargell,PITTSBURGH,119.0
1974,AL,Jeff Burroughs,TEXAS,118.0
1974,NL,Johnny Bench,CINCINNATI,129.0
1975,AL,George Scott,MILWAUKEE,109.0
1975,NL,Greg Luzinski,PHILADELPHIA,120.0
1976,AL,Lee May,BALTIMORE,109.0
1976,NL,George Foster,CINCINNATI,121.0
1977,AL,Larry Hisle,MINNESOTA,119.0
1977,NL,George Foster,CINCINNATI,149.0
1978,AL,Jim Rice,BOSTON,139.0
1978,NL,George Foster,CINCINNATI,120.0
1979,AL,Don Baylor,CALIFORNIA,139.0
1979,NL,Dave Winfield,SAN DIEGO,118.0
1980,AL,Cecil Cooper,MILWAUKEE,122.0
1980,NL,Mike Schmidt,PHILADELPHIA,121.0
1981,AL,Eddie Murray,BALTIMORE,78.0
1981,NL,Mike Schmidt,PHILADELPHIA,91.0
1982,AL,Hal McRae,KANSAS CITY,133.0
1982,NL,Dale Murphy,ATLANTA,109.0
1983,AL,Cecil Cooper,MILWAUKEE,126.0
1983,NL,Dale Murphy,ATLANTA,121.0
1984,AL,Tony Armas,BOSTON,123.0
1984,NL,Gary Carter,MONTREAL,106.0
1985,AL,Don Mattingly,NEW YORK,145.0
1985,NL,Dave Parker,CINCINNATI,125.0
1986,AL,Joe Carter,CLEVELAND,121.0
1986,NL,Mike Schmidt,PHILADELPHIA,119.0
1987,AL,George Bell,TORONTO,134.0
1987,NL,Andre Dawson,CHICAGO,137.0
1988,AL,Jose Canseco,OAKLAND,124.0
1988,NL,Will Clark,SAN FRANCISCO,109.0
1989,AL,Ruben Sierra,TEXAS,119.0
1989,NL,Kevin Mitchell,SAN FRANCISCO,125.0
1990,AL,Cecil Fielder,DETROIT,132.0
1990,NL,Matt Williams,SAN FRANCISCO,122.0
1991,AL,Cecil Fielder,DETROIT,133.0
1991,NL,Howard Johnson,NEW YORK,117.0
1992,AL,Cecil Fielder,DETROIT,124.0
1992,NL,Darren Daulton,PHILADELPHIA,109.0
1993,AL,Albert Belle,CLEVELAND,129.0
1993,NL,Barry Bonds,SAN FRANCISCO,123.0
1994,AL,Kirby Puckett,MINNESOTA,112.0
1994,NL,Jeff Bagwell,HOUSTON,116.0
1995,AL,Albert Belle,CLEVELAND,126.0
1995,NL,Dante Bichette,COLORADO,128.0
1996,AL,Albert Belle,CLEVELAND,148.0
1996,NL,Andres Galarraga,COLORADO,150.0
1997,AL,"Ken Griffey, Jr.",SEATTLE,147.0
1997,NL,Andres Galarraga,COLORADO,140.0
1998,AL,Juan Gonzalez,TEXAS,157.0
1998,NL,Sammy Sosa,CHICAGO,158.0
1999,AL,Manny Ramirez,CLEVELAND,165.0
1999,NL,Mark McGwire,ST. LOUIS,147.0
2000,AL,Edgar Martinez,SEATTLE,145.0
2000,NL,Todd Helton,COLORADO,147.0
2001,AL,Bret Boone,SEATTLE,141.0
2001,NL,Sammy Sosa,CHICAGO,160.0
2002,AL,Alex Rodriguez,TEXAS,142.0
2002,NL,Lance Berkman,HOUSTON,128.0
2003,AL,Carlos Delgado,TORONTO,145.0
2003,NL,Preston Wilson,COLORADO,141.0
2004,AL,Miguel Tejada,BALTIMORE,150.0
2004,NL,Vinny Castilla,COLORADO,131.0
2005,AL,David Ortiz,BOSTON,148.0
2005,NL,Andruw Jones,ATLANTA,128.0
2006,AL,David Ortiz,BOSTON,137.0
2006,NL,Ryan Howard,PHILADELPHIA,149.0
2007,AL,Alex Rodriguez,NEW YORK,156.0
2007,NL,Matt Holliday,COLORADO,137.0
2008,AL,Josh Hamilton,TEXAS,130.0
2008,NL,Ryan Howard,PHILADELPHIA,146.0
2009,AL,Mark Teixeira,NEW YORK,122.0
2009,NL,Prince Fielder,MILWAUKEE,141.0
2010,AL,Miguel Cabrera,DETROIT,126.0
2010,NL,Albert Pujols,ST. LOUIS,118.0
2011,AL,Curtis Granderson,NEW YORK,119.0
2011,NL,Matt Kemp,LOS ANGELES,126.0
2012,AL,Miguel Cabrera,DETROIT,139.0
2012,NL,Chase Headley,SAN DIEGO,115.0
2013,AL,Chris Davis,BALTIMORE,138.0
2013,NL,Paul Goldschmidt,ARIZONA,125.0
2014,AL,Mike Trout,LOS ANGELES,111.0
2014,NL,Adrian Gonzalez,LOS ANGELES,116.0
2015,AL,Josh Donaldson,TORONTO,123.0
2015,NL,Nolan Arenado,COLORADO,130.0
2016,AL,Edwin Encarnacion,TORONTO,127.0
2016,NL,Nolan Arenado,COLORADO,133.0
2017,AL,Nelson Cruz,SEATTLE,119.0
2017,NL,Giancarlo Stanton,MIAMI,132.0
2018,AL,J.D. Martinez,BOSTON,130.0
2018,NL,Javier Báez,CHICAGO,111.0
2019,AL,José Abreu,CHICAGO,123.0
2019,NL,Anthony Rendon,WASHINGTON,126.0
2020,AL,José Abreu,CHICAGO,60.0
2020,NL,Marcell Ozuna,ATLANTA,56.0
2021,AL,Salvador Perez,KANSAS CITY,121.0
2021,NL,Adam Duvall,ATLANTA,113.0
2022,AL,Aaron Judge,NEW YORK,131.0
2022,NL,Pete Alonso,NEW YORK,131.0
2023,AL,Kyle Tucker,HOUSTON,112.0
2023,NL,Matt Olson,ATLANTA,139.0
2024,AL,Aaron Judge,NEW YORK,144.0
2024,NL,Shohei Ohtani,LOS ANGELES,130.0
2025,AL,Aaron Judge,NEW YORK,60.0
2025,NL,Pete Alonso,NEW YORK,63.0
