Year,League,Player,Team,Total Bases
1941,AL,Joe DiMaggio,NEW YORK,348.0
1941,NL,Pete Reiser,BROOKLYN,299.0
1942,AL,Ted Williams,BOSTON,338.0
1942,NL,Enos Slaughter,ST. LOUIS,292.0
1943,AL,Rudy York,DETROIT,301.0
1943,NL,Stan Musial,ST. LOUIS,347.0
1944,AL,Johnny Lindell,NEW YORK,297.0
1944,NL,Bill Nicholson,CHICAGO,317.0
1945,AL,Snuffy Stirnweiss,NEW YORK,301.0
1945,NL,Tommy Holmes,BOSTON,367.0
1946,AL,Ted Williams,BOSTON,343.0
1946,NL,Stan Musial,ST. LOUIS,366.0
1947,AL,Ted Williams,BOSTON,335.0
1947,NL,Ralph Kiner,PITTSBURGH,361.0
1948,AL,Joe DiMaggio,NEW YORK,355.0
1948,NL,Stan Musial,ST. LOUIS,429.0
1949,AL,Ted Williams,BOSTON,368.0
1949,NL,Stan Musial,ST. LOUIS,382.0
1950,AL,Walt Dropo,BOSTON,326.0
1950,NL,Duke Snider,BROOKLYN,343.0
1951,AL,Ted Williams,BOSTON,295.0
1951,NL,Stan Musial,ST. LOUIS,355.0
1952,AL,Al Rosen,CLEVELAND,297.0
1952,NL,Stan Musial,ST. LOUIS,311.0
1953,AL,Al Rosen,CLEVELAND,367.0
1953,NL,Duke Snider,BROOKLYN,370.0
1954,AL,Minnie Minoso,CHICAGO,304.0
1954,NL,Duke Snider,BROOKLYN,378.0
1955,AL,Al Kaline,DETROIT,321.0
1955,NL,Willie Mays,NEW YORK,382.0
1956,AL,Mickey Mantle,NEW YORK,376.0
1956,NL,Hank Aaron,MILWAUKEE,340.0
1957,AL,Roy Sievers,WASHINGTON,331.0
1957,NL,Hank Aaron,MILWAUKEE,369.0
1958,AL,Mickey Mantle,NEW YORK,307.0
1958,NL,Ernie Banks,CHICAGO,379.0
1959,AL,Rocky Colavito,CLEVELAND,301.0
1959,NL,Hank Aaron,MILWAUKEE,400.0
1960,AL,Mickey Mantle,NEW YORK,294.0
1960,NL,Hank Aaron,MILWAUKEE,334.0
1961,AL,Roger Maris,NEW YORK,366.0
1961,NL,Hank Aaron,MILWAUKEE,358.0
1962,AL,Rocky Colavito,DETROIT,309.0
1962,NL,Willie Mays,SAN FRANCISCO,382.0
1963,AL,Dick Stuart,BOSTON,319.0
1963,NL,Hank Aaron,MILWAUKEE,370.0
1964,AL,Tony Oliva,MINNESOTA,374.0
1964,NL,Dick Allen,PHILADELPHIA,352.0
1965,AL,Zoilo Versalles,MINNESOTA,308.0
1965,NL,Willie Mays,SAN FRANCISCO,360.0
1966,AL,Frank Robinson,BALTIMORE,367.0
1966,NL,Felipe Alou,ATLANTA,355.0
1967,AL,Carl Yastrzemski,BOSTON,360.0
1967,NL,Hank Aaron,ATLANTA,344.0
1968,AL,Frank Howard,WASHINGTON,330.0
1968,NL,Billy Williams,CHICAGO,321.0
1969,AL,Frank Howard,WASHINGTON,340.0
1969,NL,Hank Aaron,ATLANTA,332.0
1970,AL,Carl Yastrzemski,BOSTON,335.0
1970,NL,Billy Williams,CHICAGO,373.0
1971,AL,Reggie Smith,BOSTON,302.0
1971,NL,Joe Torre,ST. LOUIS,352.0
1972,AL,Bobby Murcer,NEW YORK,314.0
1972,NL,Billy Williams,CHICAGO,348.0
1973,AL,Sal Bando,OAKLAND,295.0
1973,NL,Bobby Bonds,SAN FRANCISCO,341.0
1974,AL,Joe Rudi,OAKLAND,287.0
1974,NL,Johnny Bench,CINCINNATI,315.0
1975,AL,George Scott,MILWAUKEE,318.0
1975,NL,Greg Luzinski,PHILADELPHIA,322.0
1976,AL,George Brett,KANSAS CITY,298.0
1976,NL,Mike Schmidt,PHILADELPHIA,306.0
1977,AL,Jim Rice,BOSTON,382.0
1977,NL,George Foster,CINCINNATI,388.0
1978,AL,Jim Rice,BOSTON,406.0
1978,NL,Dave Parker,PITTSBURGH,340.0
1979,AL,Jim Rice,BOSTON,369.0
1979,NL,Dave Winfield,SAN DIEGO,333.0
1980,AL,Cecil Cooper,MILWAUKEE,335.0
1980,NL,Mike Schmidt,PHILADELPHIA,342.0
1981,AL,Dwight Evans,BOSTON,215.0
1981,NL,Mike Schmidt,PHILADELPHIA,228.0
1982,AL,Robin Yount,MILWAUKEE,367.0
1982,NL,Al Oliver,MONTREAL,317.0
1983,AL,Jim Rice,BOSTON,344.0
1983,NL,Andre Dawson,MONTREAL,341.0
1984,AL,Tony Armas,BOSTON,339.0
1984,NL,Dale Murphy,ATLANTA,332.0
1985,AL,Don Mattingly,NEW YORK,370.0
1985,NL,Dave Parker,CINCINNATI,350.0
1986,AL,Don Mattingly,NEW YORK,388.0
1986,NL,Dave Parker,CINCINNATI,304.0
1987,AL,George Bell,TORONTO,369.0
1987,NL,Andre Dawson,CHICAGO,353.0
1988,AL,Kirby Puckett,MINNESOTA,358.0
1988,NL,Andres Galarraga,MONTREAL,329.0
1989,AL,Ruben Sierra,TEXAS,344.0
1989,NL,Kevin Mitchell,SAN FRANCISCO,345.0
1990,AL,Cecil Fielder,DETROIT,339.0
1990,NL,Ryne Sandberg,CHICAGO,344.0
1991,AL,Cal Ripken Jr.,BALTIMORE,368.0
1991,NL,Will Clark,SAN FRANCISCO,303.0
1992,AL,Kirby Puckett,MINNESOTA,313.0
1992,NL,Gary Sheffield,SAN DIEGO,323.0
1993,AL,"Ken Griffey, Jr.",SEATTLE,359.0
1993,NL,Barry Bonds,SAN FRANCISCO,365.0
1994,AL,Albert Belle,CLEVELAND,294.0
1994,NL,Jeff Bagwell,HOUSTON,300.0
1995,AL,Albert Belle,CLEVELAND,377.0
1995,NL,Dante Bichette,COLORADO,359.0
1996,AL,Alex Rodriguez,SEATTLE,379.0
1996,NL,Ellis Burks,COLORADO,392.0
1997,AL,"Ken Griffey, Jr.",SEATTLE,393.0
1997,NL,Larry Walker,COLORADO,409.0
1998,AL,Albert Belle,CHICAGO,399.0
1998,NL,Sammy Sosa,CHICAGO,416.0
1999,AL,Shawn Green,TORONTO,361.0
1999,NL,Sammy Sosa,CHICAGO,397.0
2000,AL,Carlos Delgado,TORONTO,378.0
2000,NL,Todd Helton,COLORADO,405.0
2001,AL,Alex Rodriguez,TEXAS,393.0
2001,NL,Sammy Sosa,CHICAGO,425.0
2002,AL,Alex Rodriguez,TEXAS,389.0
2002,NL,Vladimir Guerrero,MONTREAL,364.0
2003,AL,Vernon Wells,TORONTO,373.0
2003,NL,Albert Pujols,ST. LOUIS,394.0
2004,AL,Vladimir Guerrero,ANAHEIM,366.0
2004,NL,Albert Pujols,ST. LOUIS,389.0
2005,AL,Mark Teixeira,TEXAS,370.0
2005,NL,Derrek Lee,CHICAGO,393.0
2006,AL,David Ortiz,BOSTON,355.0
2006,NL,Ryan Howard,PHILADELPHIA,383.0
2007,AL,Alex Rodriguez,NEW YORK,376.0
2007,NL,Matt Holliday,COLORADO,386.0
2008,AL,Miguel Cabrera,DETROIT,331.0
2008,NL,Albert Pujols,ST. LOUIS,342.0
2009,AL,Mark Teixeira,NEW YORK,344.0
2009,NL,Albert Pujols,ST. LOUIS,374.0
2010,AL,Jose Bautista,TORONTO,351.0
2010,NL,Carlos González,COLORADO,351.0
2011,AL,Jacoby Ellsbury,BOSTON,364.0
2011,NL,Matt Kemp,LOS ANGELES,353.0
2012,AL,Miguel Cabrera,DETROIT,377.0
2012,NL,Ryan Braun,MILWAUKEE,356.0
2013,AL,Chris Davis,BALTIMORE,370.0
2013,NL,Paul Goldschmidt,ARIZONA,332.0
2014,AL,Mike Trout,LOS ANGELES,338.0
2014,NL,Giancarlo Stanton,MIAMI,299.0
2015,AL,Josh Donaldson,TORONTO,352.0
2015,NL,Nolan Arenado,COLORADO,354.0
2016,AL,Mookie Betts,BOSTON,359.0
2016,NL,Nolan Arenado,COLORADO,352.0
2017,AL,José Abreu,CHICAGO,343.0
2017,NL,Charlie Blackmon,COLORADO,387.0
2018,AL,J.D. Martinez,BOSTON,358.0
2018,NL,Christian Yelich,MILWAUKEE,343.0
2019,AL,Rafael Devers,BOSTON,359.0
2019,NL,Cody Bellinger,LOS ANGELES,351.0
2020,AL,José Abreu,CHICAGO,148.0
2020,NL,Marcell Ozuna,ATLANTA,145.0
2021,AL,Vladimir Guerrero Jr.,TORONTO,363.0
2021,NL,Trea Turner,LOS ANGELES,319.0
2022,AL,Aaron Judge,NEW YORK,391.0
2022,NL,Austin Riley,ATLANTA,325.0
2023,AL,Shohei Ohtani,LOS ANGELES,325.0
2023,NL,Ronald Acuña Jr.,ATLANTA,383.0
2024,AL,Aaron Judge,NEW YORK,392.0
2024,NL,Shohei Ohtani,LOS ANGELES,411.0
2025,AL,Aaron Judge,NEW YORK,199.0
2025,NL,Shohei Ohtani,LOS ANGELES,182.0
