Year,League,Player,Team,Slugging Average
1941,AL,Ted Williams,BOSTON,0.735
1941,NL,Pete Reiser,BROOKLYN,0.558
1942,AL,Ted Williams,BOSTON,0.648
1942,NL,Johnny Mize,NEW YORK,0.521
1943,AL,Rudy York,DETROIT,0.527
1943,NL,Stan Musial,ST. LOUIS,0.562
1944,AL,Bobby Doerr,BOSTON,0.528
1944,NL,Stan Musial,ST. LOUIS,0.549
1945,AL,Snuffy Stirnweiss,NEW YORK,0.476
1945,NL,Tommy Holmes,BOSTON,0.577
1946,AL,Ted Williams,BOSTON,0.667
1946,NL,Stan Musial,ST. LOUIS,0.587
1947,AL,Ted Williams,BOSTON,0.634
1947,NL,Ralph Kiner,PITTSBURGH,0.639
1948,AL,Ted Williams,BOSTON,0.615
1948,NL,Stan Musial,ST. LOUIS,0.702
1949,AL,Ted Williams,BOSTON,0.65
1949,NL,Ralph Kiner,PITTSBURGH,0.658
1950,AL,Joe DiMaggio,NEW YORK,0.585
1950,NL,Stan Musial,ST. LOUIS,0.596
1951,AL,Ted Williams,BOSTON,0.556
1951,NL,Ralph Kiner,PITTSBURGH,0.627
1952,AL,Larry Doby,CLEVELAND,0.541
1952,NL,Stan Musial,ST. LOUIS,0.538
1953,AL,Al Rosen,CLEVELAND,0.613
1953,NL,Duke Snider,BROOKLYN,0.627
1954,AL,Ted Williams,BOSTON,0.635
1954,NL,Willie Mays,NEW YORK,0.667
1955,AL,Mickey Mantle,NEW YORK,0.611
1955,NL,Willie Mays,NEW YORK,0.659
1956,AL,Mickey Mantle,NEW YORK,0.705
1956,NL,Duke Snider,BROOKLYN,0.598
1957,AL,Ted Williams,BOSTON,0.731
1957,NL,Willie Mays,NEW YORK,0.626
1958,AL,Rocky Colavito,CLEVELAND,0.62
1958,NL,Ernie Banks,CHICAGO,0.614
1959,AL,Al Kaline,DETROIT,0.53
1959,NL,Hank Aaron,MILWAUKEE,0.636
1960,AL,Roger Maris,NEW YORK,0.581
1960,NL,Frank Robinson,CINCINNATI,0.595
1961,AL,Mickey Mantle,NEW YORK,0.687
1961,NL,Frank Robinson,CINCINNATI,0.611
1962,AL,Mickey Mantle,NEW YORK,0.605
1962,NL,Frank Robinson,CINCINNATI,0.624
1963,AL,Harmon Killebrew,MINNESOTA,0.555
1963,NL,Hank Aaron,MILWAUKEE,0.586
1964,AL,Boog Powell,BALTIMORE,0.606
1964,NL,Willie Mays,SAN FRANCISCO,0.607
1965,AL,Carl Yastrzemski,BOSTON,0.536
1965,NL,Willie Mays,SAN FRANCISCO,0.645
1966,AL,Frank Robinson,BALTIMORE,0.637
1966,NL,Dick Allen,PHILADELPHIA,0.632
1967,AL,Carl Yastrzemski,BOSTON,0.622
1967,NL,Hank Aaron,ATLANTA,0.573
1968,AL,Frank Howard,WASHINGTON,0.552
1968,NL,Willie McCovey,SAN FRANCISCO,0.545
1969,AL,Reggie Jackson,OAKLAND,0.608
1969,NL,Willie McCovey,SAN FRANCISCO,0.656
1970,AL,Carl Yastrzemski,BOSTON,0.592
1970,NL,Willie McCovey,SAN FRANCISCO,0.612
1971,AL,Tony Oliva,MINNESOTA,0.546
1971,NL,Hank Aaron,ATLANTA,0.669
1972,AL,Dick Allen,CHICAGO,0.603
1972,NL,Billy Williams,CHICAGO,0.606
1973,AL,Reggie Jackson,OAKLAND,0.531
1973,NL,Willie Stargell,PITTSBURGH,0.646
1974,AL,Dick Allen,CHICAGO,0.563
1974,NL,Mike Schmidt,PHILADELPHIA,0.546
1975,AL,Fred Lynn,BOSTON,0.566
1975,NL,Dave Parker,PITTSBURGH,0.541
1976,AL,Reggie Jackson,BALTIMORE,0.502
1976,NL,Joe Morgan,CINCINNATI,0.576
1977,AL,Jim Rice,BOSTON,0.593
1977,NL,George Foster,CINCINNATI,0.631
1978,AL,Jim Rice,BOSTON,0.6
1978,NL,Dave Parker,PITTSBURGH,0.585
1979,AL,Fred Lynn,BOSTON,0.637
1979,NL,Dave Kingman,CHICAGO,0.613
1980,AL,George Brett,KANSAS CITY,0.664
1980,NL,Mike Schmidt,PHILADELPHIA,0.624
1981,AL,Bobby Grich,CALIFORNIA,0.543
1981,NL,Mike Schmidt,PHILADELPHIA,0.644
1982,AL,Robin Yount,MILWAUKEE,0.578
1982,NL,Mike Schmidt,PHILADELPHIA,0.547
1983,AL,George Brett,KANSAS CITY,0.562
1983,NL,Dale Murphy,ATLANTA,0.54
1984,AL,Harold Baines,CHICAGO,0.541
1984,NL,Dale Murphy,ATLANTA,0.547
1985,AL,George Brett,KANSAS CITY,0.585
1985,NL,Pedro Guerrero,LOS ANGELES,0.577
1986,AL,Don Mattingly,NEW YORK,0.573
1986,NL,Mike Schmidt,PHILADELPHIA,0.547
1987,AL,Mark McGwire,OAKLAND,0.618
1987,NL,Jack Clark,ST. LOUIS,0.597
1988,AL,Jose Canseco,OAKLAND,0.569
1988,NL,Darryl Strawberry,NEW YORK,0.545
1989,AL,Ruben Sierra,TEXAS,0.543
1989,NL,Kevin Mitchell,SAN FRANCISCO,0.635
1990,AL,Cecil Fielder,DETROIT,0.592
1990,NL,Barry Bonds,PITTSBURGH,0.565
1991,AL,Danny Tartabull,KANSAS CITY,0.593
1991,NL,Will Clark,SAN FRANCISCO,0.536
1992,AL,Mark McGwire,OAKLAND,0.585
1992,NL,Barry Bonds,PITTSBURGH,0.624
1993,AL,Juan Gonzalez,TEXAS,0.632
1993,NL,Barry Bonds,SAN FRANCISCO,0.677
1994,AL,Frank Thomas,CHICAGO,0.729
1994,NL,Jeff Bagwell,HOUSTON,0.75
1995,AL,Albert Belle,CLEVELAND,0.69
1995,NL,Dante Bichette,COLORADO,0.62
1996,AL,Mark McGwire,OAKLAND,0.73
1996,NL,Ellis Burks,COLORADO,0.639
1997,AL,"Ken Griffey, Jr.",SEATTLE,0.646
1997,NL,Larry Walker,COLORADO,0.72
1998,AL,Albert Belle,CHICAGO,0.655
1998,NL,Mark McGwire,ST. LOUIS,0.752
1999,AL,Manny Ramirez,CLEVELAND,0.663
1999,NL,Larry Walker,COLORADO,0.71
2000,AL,Manny Ramirez,CLEVELAND,0.697
2000,NL,Todd Helton,COLORADO,0.698
2001,AL,Jason Giambi,OAKLAND,0.66
2001,NL,Barry Bonds,SAN FRANCISCO,0.863
2002,AL,Jim Thome,CLEVELAND,0.677
2002,NL,Barry Bonds,SAN FRANCISCO,0.799
2003,AL,Alex Rodriguez,TEXAS,0.6
