Year,League,Player,Team,Base on Balls
1942,AL,Ted Williams,BOSTON,145.0
1942,NL,Mel Ott,NEW YORK,109.0
1943,AL,Charlie Keller,NEW YORK,106.0
1943,NL,Augie Galan,BROOKLYN,103.0
1944,AL,Nick Etten,NEW YORK,97.0
1944,NL,Augie Galan,BROOKLYN,101.0
1945,AL,Roy Cullenbine,CLEVELAND,113.0
1945,NL,Eddie Stanky,BROOKLYN,148.0
1946,AL,Ted Williams,BOSTON,156.0
1946,NL,Eddie Stanky,BROOKLYN,137.0
1947,AL,Ted Williams,BOSTON,162.0
1947,NL,Hank Greenberg,PITTSBURGH,104.0
1948,AL,Ted Williams,BOSTON,126.0
1948,NL,Bob Elliott,BOSTON,131.0
1949,AL,Ted Williams,BOSTON,162.0
1949,NL,Ralph Kiner,PITTSBURGH,117.0
1950,AL,Eddie Yost,WASHINGTON,141.0
1950,NL,Eddie Stanky,NEW YORK,144.0
1951,AL,Ted Williams,BOSTON,144.0
1951,NL,Ralph Kiner,PITTSBURGH,137.0
1952,AL,Eddie Yost,WASHINGTON,129.0
1952,NL,Ralph Kiner,PITTSBURGH,110.0
1953,AL,Eddie Yost,WASHINGTON,123.0
1953,NL,Stan Musial,ST. LOUIS,105.0
1954,AL,Ted Williams,BOSTON,136.0
1954,NL,Richie Ashburn,PHILADELPHIA,125.0
1955,AL,Mickey Mantle,NEW YORK,113.0
1955,NL,Eddie Mathews,MILWAUKEE,109.0
1956,AL,Eddie Yost,WASHINGTON,151.0
1956,NL,Duke Snider,BROOKLYN,99.0
1957,AL,Mickey Mantle,NEW YORK,146.0
1957,NL,Richie Ashburn,PHILADELPHIA,94.0
1958,AL,Mickey Mantle,NEW YORK,129.0
1958,NL,Richie Ashburn,PHILADELPHIA,97.0
1959,AL,Eddie Yost,DETROIT,135.0
1959,NL,Jim Gilliam,LOS ANGELES,96.0
1960,AL,Eddie Yost,DETROIT,125.0
1960,NL,Richie Ashburn,CHICAGO,116.0
1961,AL,Mickey Mantle,NEW YORK,126.0
1961,NL,Eddie Mathews,MILWAUKEE,93.0
1962,AL,Mickey Mantle,NEW YORK,122.0
1962,NL,Eddie Mathews,MILWAUKEE,101.0
1963,AL,Carl Yastrzemski,BOSTON,95.0
1963,NL,Eddie Mathews,MILWAUKEE,124.0
1964,AL,Norm Siebern,BALTIMORE,106.0
1964,NL,Ron Santo,CHICAGO,86.0
1965,AL,Rocky Colavito,CLEVELAND,93.0
1965,NL,Joe Morgan,HOUSTON,97.0
1966,AL,Harmon Killebrew,MINNESOTA,103.0
1966,NL,Ron Santo,CHICAGO,95.0
