Year,League,Player,Team,Triples
1942,NL,Enos Slaughter,ST. LOUIS,17.0
1943,AL,Johnny Lindell,NEW YORK,12.0
1943,NL,Stan Musial,ST. LOUIS,20.0
1944,AL,Johnny Lindell,NEW YORK,16.0
1944,NL,Johnny Barrett,PITTSBURGH,19.0
1945,AL,Snuffy Stirnweiss,NEW YORK,22.0
1945,NL,Luis Olmo,BROOKLYN,13.0
1946,AL,Hank Edwards,CLEVELAND,16.0
1946,NL,Stan Musial,ST. LOUIS,20.0
1947,AL,Tommy Henrich,NEW YORK,13.0
1947,NL,Harry Walker,PHILADELPHIA,16.0
1948,AL,Tommy Henrich,NEW YORK,14.0
1948,NL,Stan Musial,ST. LOUIS,18.0
1949,AL,Dale Mitchell,CLEVELAND,23.0
1949,NL,Stan Musial,ST. LOUIS,13.0
1950,AL,Dom DiMaggio,BOSTON,11.0
1950,NL,Richie Ashburn,PHILADELPHIA,14.0
1951,AL,Minnie Minoso,CHICAGO,14.0
1951,NL,Gus Bell,PITTSBURGH,12.0
1952,AL,Bobby Avila,CLEVELAND,11.0
1952,NL,Bobby Thomson,NEW YORK,14.0
1953,AL,Jim Rivera,CHICAGO,16.0
1953,NL,Jim Gilliam,BROOKLYN,17.0
1954,AL,Minnie Minoso,CHICAGO,18.0
1954,NL,Willie Mays,NEW YORK,13.0
1955,AL,Andy Carey,NEW YORK,11.0
1955,NL,Dale Long,PITTSBURGH,13.0
1956,AL,Jackie Jensen,BOSTON,11.0
1956,NL,Bill Bruton,MILWAUKEE,15.0
1957,AL,Hank Bauer,NEW YORK,9.0
1957,NL,Willie Mays,NEW YORK,20.0
1958,AL,Vic Power,CLEVELAND,10.0
1958,NL,Richie Ashburn,PHILADELPHIA,13.0
1959,AL,Bob Allison,WASHINGTON,9.0
1959,NL,Wally Moon,LOS ANGELES,11.0
1960,AL,Nellie Fox,CHICAGO,10.0
1960,NL,Bill Bruton,MILWAUKEE,13.0
1961,AL,Jake Wood,DETROIT,14.0
1961,NL,George Altman,CHICAGO,12.0
1962,AL,Gino Cimoli,KANSAS CITY,15.0
1962,NL,Johnny Callison,PHILADELPHIA,10.0
1963,AL,Zoilo Versalles,MINNESOTA,13.0
1963,NL,Vada Pinson,CINCINNATI,14.0
1964,AL,Rich Rollins,MINNESOTA,10.0
1964,NL,Dick Allen,PHILADELPHIA,13.0
1965,AL,Bert Campaneris,KANSAS CITY,12.0
1965,NL,Johnny Callison,PHILADELPHIA,16.0
1966,AL,Bobby Knoop,CALIFORNIA,11.0
1966,NL,Tim McCarver,ST. LOUIS,13.0
1967,AL,Paul Blair,BALTIMORE,12.0
1967,NL,Vada Pinson,CINCINNATI,13.0
1968,AL,Jim Fregosi,CALIFORNIA,13.0
1968,NL,Lou Brock,ST. LOUIS,14.0
1969,AL,Del Unser,WASHINGTON,8.0
1969,NL,Roberto Clemente,PITTSBURGH,12.0
1970,AL,Cesar Tovar,MINNESOTA,13.0
1970,NL,Willie Davis,LOS ANGELES,16.0
1971,AL,Freddie Patek,KANSAS CITY,11.0
1971,NL,Roger Metzger,HOUSTON,11.0
1972,AL,Carlton Fisk,BOSTON,9.0
1972,NL,Larry Bowa,PHILADELPHIA,13.0
1973,AL,Al Bumbry,BALTIMORE,11.0
1973,NL,Roger Metzger,HOUSTON,14.0
1974,AL,Mickey Rivers,CALIFORNIA,11.0
1974,NL,Ralph Garr,ATLANTA,17.0
1975,AL,George Brett,KANSAS CITY,13.0
1975,NL,Ralph Garr,ATLANTA,11.0
1976,AL,George Brett,KANSAS CITY,14.0
1976,NL,Dave Cash,PHILADELPHIA,12.0
1977,AL,Rod Carew,MINNESOTA,16.0
1977,NL,Garry Templeton,ST. LOUIS,18.0
1978,AL,Jim Rice,BOSTON,15.0
1978,NL,Garry Templeton,ST. LOUIS,13.0
1979,AL,George Brett,KANSAS CITY,20.0
1979,NL,Garry Templeton,ST. LOUIS,19.0
1980,AL,Alfredo Griffin,TORONTO,15.0
1980,NL,Omar Moreno,PITTSBURGH,13.0
1981,AL,John Castino,MINNESOTA,9.0
1981,NL,Craig Reynolds,HOUSTON,12.0
1982,AL,Willie Wilson,KANSAS CITY,15.0
1982,NL,Dickie Thon,HOUSTON,10.0
1983,AL,Robin Yount,MILWAUKEE,10.0
1983,NL,Brett Butler,ATLANTA,13.0
1984,AL,Dave Collins,TORONTO,15.0
1984,NL,Juan Samuel,PHILADELPHIA,19.0
1985,AL,Willie Wilson,KANSAS CITY,21.0
1985,NL,Willie McGee,ST. LOUIS,18.0
1986,AL,Brett Butler,CLEVELAND,14.0
1986,NL,Mitch Webster,MONTREAL,13.0
1987,AL,Willie Wilson,KANSAS CITY,15.0
1987,NL,Juan Samuel,PHILADELPHIA,15.0
1988,AL,Harold Reynolds,SEATTLE,11.0
1988,NL,Andy Van Slyke,PITTSBURGH,15.0
1989,AL,Ruben Sierra,TEXAS,14.0
1989,NL,Robby Thompson,SAN FRANCISCO,11.0
1990,AL,Tony Fernandez,TORONTO,17.0
1990,NL,Mariano Duncan,CINCINNATI,11.0
1991,AL,Lance Johnson,CHICAGO,13.0
1991,NL,Ray Lankford,ST. LOUIS,15.0
1992,AL,Lance Johnson,CHICAGO,12.0
1992,NL,Deion Sanders,ATLANTA,14.0
1993,AL,Lance Johnson,CHICAGO,14.0
1993,NL,Steve Finley,HOUSTON,13.0
1994,AL,Lance Johnson,CHICAGO,14.0
1994,NL,Brett Butler,LOS ANGELES,9.0
1995,AL,Kenny Lofton,CLEVELAND,13.0
1995,NL,Brett Butler,LOS ANGELES,9.0
1996,AL,Chuck Knoblauch,MINNESOTA,14.0
1996,NL,Lance Johnson,NEW YORK,21.0
1997,AL,Nomar Garciaparra,BOSTON,11.0
1997,NL,Delino DeShields,ST. LOUIS,14.0
1998,AL,Jose Offerman,KANSAS CITY,13.0
1998,NL,David Dellucci,ARIZONA,12.0
1999,AL,Jose Offerman,BOSTON,11.0
1999,NL,Bobby Abreu,PHILADELPHIA,11.0
2000,AL,Cristian Guzman,MINNESOTA,20.0
2000,NL,Tony Womack,ARIZONA,14.0
2001,AL,Cristian Guzman,MINNESOTA,14.0
2001,NL,Jimmy Rollins,PHILADELPHIA,12.0
2002,AL,Johnny Damon,BOSTON,11.0
2002,NL,Jimmy Rollins,PHILADELPHIA,10.0
2003,AL,Cristian Guzman,MINNESOTA,14.0
2003,NL,Steve Finley,ARIZONA,10.0
2004,AL,Carl Crawford,TAMPA BAY,19.0
2004,NL,Juan Pierre,FLORIDA,12.0
2005,AL,Carl Crawford,TAMPA BAY,15.0
2005,NL,Jose Reyes,NEW YORK,17.0
2006,AL,Carl Crawford,TAMPA BAY,16.0
2006,NL,Jose Reyes,NEW YORK,17.0
2007,AL,Curtis Granderson,DETROIT,23.0
2007,NL,Jimmy Rollins,PHILADELPHIA,20.0
2008,AL,Curtis Granderson,DETROIT,13.0
2008,NL,Jose Reyes,NEW YORK,19.0
2009,AL,Jacoby Ellsbury,BOSTON,10.0
2009,NL,Shane Victorino,PHILADELPHIA,13.0
2010,AL,Carl Crawford,TAMPA BAY,13.0
2010,NL,Dexter Fowler,COLORADO,14.0
2011,AL,Peter Bourjos,LOS ANGELES,11.0
2011,NL,Jose Reyes,NEW YORK,16.0
2012,AL,Austin Jackson,DETROIT,10.0
2012,NL,Angel Pagan,SAN FRANCISCO,15.0
2013,AL,Brett Gardner,NEW YORK,10.0
2013,NL,Denard Span,WASHINGTON,11.0
2014,AL,Michael Bourn,CLEVELAND,10.0
2014,NL,Dee Strange-Gordon,LOS ANGELES,12.0
2015,AL,Eddie Rosario,MINNESOTA,15.0
2015,NL,David Peralta,ARIZONA,10.0
2016,AL,Adam Eaton,CHICAGO,9.0
2016,NL,Brandon Crawford,SAN FRANCISCO,11.0
2017,AL,Nick Castellanos,DETROIT,10.0
2017,NL,Charlie Blackmon,COLORADO,14.0
2018,AL,Yolmer Sanchez,CHICAGO,10.0
2018,NL,Ketel Marte,ARIZONA,12.0
2019,AL,Hunter Dozier,KANSAS CITY,10.0
2019,NL,Eduardo Escobar,ARIZONA,10.0
2020,AL,Kyle Tucker,HOUSTON,6.0
2020,NL,Trevor Story,COLORADO,4.0
2021,AL,Shohei Ohtani,LOS ANGELES,8.0
2021,NL,David Peralta,ARIZONA,8.0
2022,AL,Amed Rosario,CLEVELAND,9.0
2022,NL,Gavin Lux,LOS ANGELES,7.0
2023,AL,Bobby Witt Jr.,KANSAS CITY,11.0
2023,NL,Corbin Carroll,ARIZONA,10.0
2024,AL,Jarren Duran,BOSTON,14.0
2024,NL,Corbin Carroll,ARIZONA,14.0
2025,AL,Jarren Duran,BOSTON,8.0
2025,NL,Corbin Carroll,ARIZONA,8.0
